Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00073603905102797,-0.124439967353438,0.0163148045871533,0,0,0,0.257859871104782,0.000126085881307814,4.49330941225322E-07,-2.4468231651258E-06,0.000301839424292738,-1.8522073924102E-06,0.000239672815646621,0,0,0,0,0,0,package://IHM_finger/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://IHM_finger/meshes/base_link.STL,,base_origin-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_finger,-0.0070962,0.07599,-0.00064418,0,0,0,0.054988,5.0702E-05,-1.7234E-07,-6.0271E-07,1.0298E-05,-1.0717E-06,5.2995E-05,0,0,0,0,0,0,package://IHM_finger/meshes/left_finger.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://IHM_finger/meshes/left_finger.STL,,VFF 2022-2,Origin_joint0,Axis_joint0,joint0,revolute,0.037012,-0.1645,0,2.802,1.5708,0,base_link,1,0,0,10,100,-1.57,1.57,,,,,,,,
left_insert,0.012,-0.051365,0.011392,0,0,0,0.027304,2.6941E-05,-1.2407E-11,-1.0722E-11,2.1544E-06,-1.4064E-07,2.7279E-05,0,0,0,0,0,0,package://IHM_finger/meshes/left_insert.STL,0.99216,1,0.41961,1,0,0,0,0,0,0,package://IHM_finger/meshes/left_insert.STL,,Insert_Finger_2020_V2-2,Origin_joint1,Axis_joint1,joint1,prismatic,-0.013495,0.144,0,0,0,0,left_finger,0,0,1,15,1,0,0,,,,,,,,
right_finger,-0.002917,0.07599,-0.00064418,0,0,0,0.054988,5.0702E-05,-1.7235E-07,-6.0271E-07,1.0298E-05,-1.0717E-06,5.2995E-05,0,0,0,0,0,0,package://IHM_finger/meshes/right_finger.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://IHM_finger/meshes/right_finger.STL,,VFF 2022-1,Origin_joint2,Axis_joint2,joint2,revolute,-0.037488,-0.1645,0,0.15466,-1.5708,0,base_link,1,0,0,10,100,-1.57,1.57,,,,,,,,
right_insert,0.012,-0.051365,0.02879,0,0,0,0.027304,2.6941E-05,-1.2405E-11,-1.0716E-11,2.1544E-06,-1.4064E-07,2.7279E-05,0,0,0,0,0,0,package://IHM_finger/meshes/right_insert.STL,0.99216,1,0.41961,1,0,0,0,0,0,0,package://IHM_finger/meshes/right_insert.STL,,Insert_Finger_2020_V2-1,Origin_joint3,Axis_joint3,joint3,prismatic,-0.010316,0.144,-0.014597,0,0,0,right_finger,0,0,1,15,1,0,0,,,,,,,,
